beds	baths	sqft	lotsize	is_pricereduced	recentdate	propertytype	price
3	2	2520	47	0	152	1	789000
5	6	8510	10	0	66	1	699000
4	3	3580	3.8	0	152	1	675000
5	5	5200	0.2	1	169	1	585000
5	5	3343	4.5	0	3	1	495000
5	4	4355	0.35	0	154	1	495000
4	3	3260	0.2	1	36	1	489900
3	3	2479	12.8	0	188	1	485000
4	3	2344	20	1	1	1	475000
4	4	4627	1.87	1	88	1	469000
4	4	4930	0.35	1	46	1	449900
4	4	5073	0.74	0	36	1	449000
4	4	4475	4.14	0	29	1	400000
6	4	4443	1.01	0	9	1	399000
3	3	3404	0.169995408631772	1	11	1	399000
4	3	2946	0.62	0	15	1	390000
4	4	2857	0.3	0	152	1	369900
4	3	2958	0.32	0	82	1	359900
4	4	3429	0.2	0	17	1	344000
5	4	4121	0.27	0	36	1	340000
4	3	3430	3.9	0	48	1	339900
4	4	4917	0.44	0	66	1	335000
5	4	4754	0.23	0	36	1	324900
4	3	4226	5	1	150	1	319000
4	3	3270	0.67	1	146	1	309900
3	3	3200	0.57	1	0	1	300000
4	3	2472	5	1	11	1	300000
3	3	3236	3.06	0	51	1	299950
4	4	3271	2.6	0	253	1	292000
3	3	3390	0.93	1	105	1	290000
4	4	4400	0.52	1	9	1	289900
5	3	3001	0.34	0	1	1	282900
4	3	3544	0.39	0	33	1	279900
4	4	3120	0.56	1	57	1	275000
4	4	3200	0.25	0	36	1	274900
4	4	3223	0.24	0	48	1	259900
4	3	2687	5	0	15	1	255000
4	3	2443	0.8	0	26	1	255000
4	3	3276	0.34	1	51	1	254900
4	3	2506	0.33	1	28	1	254000
4	3	3137	0.31	0	168	1	250000
4	3	3024	0.23	0	10	1	249900
4	3	3773	0.26	0	10	1	249900
4	3	3324	0.24	1	105	1	249900
3	3	2824	0.37	1	114	1	245000
3	2	1658	0.41	1	32	1	242900
4	3	2135	0.25	1	23	1	240000
4	4	2840	0.32	1	17	1	240000
3	5	2012	2	0	3	1	239900
5	3	3974	0.2	1	76	1	230000
